lat,lng
35.1510527,126.7878973
35.1506832,126.7888027
35.1510815,126.7889724
35.1505118,126.7896832
35.1510815,126.7889724
35.1510815,126.7889724
35.1510815,126.7889724
35.1505118,126.7896832
35.1505118,126.7896832
35.1505118,126.7896832
35.1510815,126.7889724
35.1510527,126.7878973
35.1510815,126.7889724
35.1506739,126.7905808
35.1506739,126.7905808
35.1506739,126.7905808
35.1506739,126.7905808
35.1510815,126.7889724
35.1505055,126.7881579
35.1499772,126.7885059
35.1506832,126.7888027
35.1548643,126.7895749
35.1548643,126.7895749
35.1556414,126.7915719
35.1548643,126.7895749
35.1548643,126.7895749
35.2050911,126.777277
35.2053932,126.773275
35.2058786,126.7758156
35.206357,126.7741062
35.2058786,126.7758156
35.2042804,126.7755431
35.2065087,126.772171
35.2033456,126.767804
35.2033456,126.767804
35.2036868,126.7685566
35.2042821,126.7703706
35.2042821,126.7703706
35.2042821,126.7703706
35.2058786,126.7758156
35.2045266,126.7722558
35.2077974,126.7685934
35.207968,126.7694145
35.207506,126.7700804
35.2071352,126.7708438
35.2078497,126.7710856
35.2078448,126.771492
35.2081632,126.7717727
35.2085011,126.7730965
35.2085011,126.7730965
35.2095351,126.7728503
35.2087606,126.7738065
35.2095858,126.7751779
35.2101608,126.7749935
35.2105976,126.7754043
35.2109242,126.7747294
35.2114823,126.7746551
35.2112403,126.7747906
35.2105976,126.7754043
35.2114886,126.7752701
35.2062155,126.7743719
35.2062887,126.7762597
35.2070339,126.7777531
35.2039431,126.7724952
35.2040727,126.7737232
35.2045383,126.7743092
35.2041436,126.7753804
35.2042804,126.7755431
35.2035276,126.7759717
35.202964,126.7737179
35.2040738,126.7765016
35.2044148,126.7763537
35.2040039,126.7767223
35.2040432,126.7770401
35.2046337,126.776603
35.2049276,126.7762581
35.204495,126.7780437
35.2114344,126.7743703
35.2045177,126.7776151
35.2049665,126.7774326
35.204495,126.7780437
35.2043477,126.7786389
35.2041788,126.7788721
35.2061441,126.7788976
35.2055825,126.7786314
35.2062387,126.7775563
35.2061441,126.7788976
35.2024697,126.7765366
35.2019806,126.7754129
35.2033153,126.7754807
35.2030482,126.7749136
35.2030482,126.7749136
35.2038134,126.7748143
35.2049113,126.7719755
35.2045873,126.7702452
35.2046521,126.7686409
35.204804,126.7685068
35.2054014,126.7687613
35.2051442,126.768282
35.2051745,126.7677215
35.2045934,126.767302
35.2040733,126.7666839
35.203738,126.7665023
35.2030912,126.7667207
35.2027819,126.7664398
35.2026706,126.766134
35.195479,126.7715794
35.1934279,126.7737514
35.192494,126.7740949
35.1918002,126.7741272
35.1912727,126.7727736
35.1900131,126.7747799
35.189195,126.7723218
35.1885913,126.7723418
35.1881315,126.7723268
35.1875127,126.7708648
35.186594,126.7709336
35.1925559,126.7757629
35.1928582,126.7762415
35.1942142,126.7775279
35.1945684,126.7786865
35.1947283,126.7793429
35.1950644,126.7796014
35.1959189,126.7794239
35.1949911,126.7812716
35.1952399,126.7809165
35.1954176,126.7815617
35.2479253,126.7439789
35.1950705,126.7819951
35.1929776,126.7818287
35.1920581,126.7764512
35.191233,126.7777592
35.1928753,126.7770428
35.191233,126.7777592
35.1913778,126.7760331
35.1931488,126.774678
35.2045199,126.7778347
35.2023379,126.776868
35.2040606,126.780554
35.2050911,126.777277
35.2051367,126.7764307
35.2054481,126.7680358
35.204804,126.7685068
35.2050743,126.7782876
35.1900957,126.7776005
35.1957089,126.7711367
35.2054389,126.7786885
35.2205599,126.7404904
35.2485842,126.7440676
35.2298962,126.7377206
35.2306178,126.7334581
35.2510707,126.7439523
35.2509843,126.7443163
35.2510516,126.7447218
35.2510507,126.7455019
35.2511598,126.7464562
35.2507888,126.7463191
35.247611,126.7423575
35.2494451,126.7453838
35.2494623,126.7444386
35.2485842,126.7440676
35.2485842,126.7440676
35.2479253,126.7439789
35.245027,126.7409032
35.2445419,126.7410645
35.2442498,126.7415744
35.2440255,126.7425448
35.2437649,126.7426147
35.2435061,126.7428714
35.2434751,126.7433553
35.2435246,126.744651
35.2437062,126.7447801
35.2452977,126.740932
35.2496921,126.7439956
35.2489732,126.7424684
35.2502404,126.7429872
35.2506479,126.7431677
35.2506479,126.7431677
35.2469444,126.7415328
35.2469444,126.7415328
35.246146,126.7410287
35.2484571,126.7422456
